Invoice ID,Branch,City,Customer_type,Gender,Product_line,Unit price,Quantity,Total,Payment,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,522.83,Ewallet,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,76.4,Cash,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,324.31,Credit card,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,465.76,Ewallet,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,604.17,Ewallet,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,597.73,Ewallet,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,413.04,Ewallet,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,735.6,Ewallet,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,72.52,Credit card,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,164.52,Credit card,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,57.92,Ewallet,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,102.04,Cash,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,234.75,Ewallet,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,431.9,Ewallet,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,713.8,Cash,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,562.32,Cash,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,482.51,Credit card,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,435.66,Credit card,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,164.01,Credit card,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,80.6,Ewallet,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,430.2,Ewallet,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,263.94,Ewallet,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,66.4,Credit card,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,172.8,Ewallet,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,265.89,Ewallet,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,420.72,Credit card,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,33.52,Cash,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,175.34,Credit card,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,441.8,Cash,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,224.01,Cash,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,470.65,Credit card,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,702.63,Cash,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,670.24,Cash,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,193.16,Credit card,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,397.68,Ewallet,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,68.12,Ewallet,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,313.1,Ewallet,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,547.92,Ewallet,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,439.36,Ewallet,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,240.96,Cash,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,86.72,Ewallet,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,112.22,Cash,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,414.72,Cash,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,789.6,Cash,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,30.74,Cash,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,375.84,Cash,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,510.21,Credit card,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,180.09,Ewallet,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,113.58,Credit card,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,826.3,Ewallet,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,639.8,Cash,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,222.95,Cash,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,71.48,Ewallet,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,15.43,Credit card,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,32.32,Ewallet,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,687.84,Cash,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,88.68,Cash,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,716.8,Ewallet,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,723.5,Cash,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,183.66,Cash,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,74.22,Credit card,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,334.38,Ewallet,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,495.63,Ewallet,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,158.1,Credit card,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,302.96,Cash,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,158.7,Cash,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,66.94,Ewallet,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,585.66,Ewallet,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,787.7,Cash,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,18.33,Cash,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,894.8,Credit card,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,621.2,Cash,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,145.56,Ewallet,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,455.46,Cash,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,672.03,Ewallet,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,416.5,Credit card,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,441.36,Credit card,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,180.09,Credit card,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,783.1,Ewallet,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,101.9,Cash,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,595.14,Credit card,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,290.04,Ewallet,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,154,Ewallet,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,321.44,Credit card,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,244.55,Cash,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,581.42,Ewallet,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,382.6,Cash,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,345.66,Credit card,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,42.47,Cash,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,461.94,Cash,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,189.52,Cash,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,448.6,Ewallet,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,153.86,Ewallet,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,579.24,Credit card,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,89.75,Credit card,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,97.16,Ewallet,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,878.7,Ewallet,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,74.7,Cash,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,158.25,Ewallet,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,496.2,Cash,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,48.71,Cash,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,706.95,Cash,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,207.63,Cash,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,349.56,Cash,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,212.45,Cash,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,886.7,Ewallet,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,164.28,Credit card,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,372.78,Cash,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,305.82,Cash,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,819.7,Cash,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,32.98,Ewallet,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,294.63,Credit card,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,509.88,Cash,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,522.63,Ewallet,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,727.11,Credit card,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,81.06,Credit card,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,109.7,Ewallet,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,51.36,Ewallet,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,109.6,Ewallet,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,106.88,Ewallet,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,796.48,Credit card,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,399.84,Credit card,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,899.64,Credit card,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,511.28,Credit card,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,451.76,Ewallet,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,655.83,Credit card,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,161.25,Cash,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,285.57,Credit card,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,548.32,Ewallet,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,812.52,Ewallet,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,277.34,Cash,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,552.78,Cash,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,139.36,Cash,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,524.7,Credit card,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,487.8,Ewallet,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,270.66,Cash,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,131.55,Credit card,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,206.52,Cash,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,519.1,Cash,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,580,Ewallet,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,898,Credit card,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,905,Cash,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,686,Cash,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,30.41,Credit card,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,467.7,Ewallet,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,277.56,Credit card,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,301.4,Ewallet,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,264.56,Credit card,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,574.88,Credit card,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,259.68,Credit card,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,366.16,Credit card,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,241.92,Credit card,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,749.16,Credit card,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,98.88,Ewallet,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,647.76,Cash,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,461.45,Credit card,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,72.17,Cash,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,251.4,Ewallet,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,874.98,Ewallet,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,560.34,Ewallet,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,345.44,Credit card,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,63.69,Cash,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,320.53,Credit card,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,152.8,Ewallet,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,399,Credit card,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,340.56,Ewallet,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,955.8,Cash,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,989.8,Credit card,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,307.68,Cash,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,486.64,Credit card,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,350.05,Ewallet,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,400.25,Credit card,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,166.8,Cash,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,317.34,Credit card,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,158.32,Ewallet,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,304.56,Ewallet,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,177.36,Credit card,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,157.57,Credit card,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,443.28,Ewallet,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,260.4,Ewallet,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,449.82,Cash,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,307.76,Cash,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,155,Ewallet,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,274.48,Ewallet,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,86.38,Credit card,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,54.24,Ewallet,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,755.92,Ewallet,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,185.88,Cash,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,74.07,Ewallet,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,279.24,Credit card,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,231.12,Credit card,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,147.04,Ewallet,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,790.2,Cash,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,102.2,Ewallet,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,163.55,Credit card,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,74.29,Cash,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,87.4,Cash,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,25.29,Ewallet,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,166,Credit card,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,356.95,Credit card,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,114.9,Credit card,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,229.96,Cash,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,429.87,Cash,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,259,Ewallet,8.7
